brand_code,artist,title,tier,method,chosen_ext,n_audio,n_candidates,note,chosen_path,alt_candidates
NOMAD-0421,ACDC,Gone Shootin',HIGH,youtube,wav,6,2,,NOMAD-0421 - ACDC - Gone Shootin'/AC_DC - Gone Shootin' (YouTube x7XscWqgdzI).wav,NOMAD-0421 - ACDC - Gone Shootin'/ACDC - Gone Shootin'.mp3
NOMAD-0422,Ozzy Osbourne,You're No Different,HIGH,youtube,wav,6,2,,NOMAD-0422 - Ozzy Osbourne - You're No Different/Ozzy Osbourne - You're No Different (YouTube 09vFKfpyuII).wav,NOMAD-0422 - Ozzy Osbourne - You're No Different/Ozzy Osbourne - You're No Different.mp3
NOMAD-0423,Alice Cooper,He's Back (The Man Behind The Mask),HIGH,youtube,wav,6,2,,NOMAD-0423 - Alice Cooper - He's Back (The Man Behind The Mask)/Alice Cooper - He's Back (The Man Behind The Mask) (YouTube xz-y3SJyEVA).wav,NOMAD-0423 - Alice Cooper - He's Back (The Man Behind The Mask)/Alice Cooper - He's Back (The Man Behind The Mask).mp3
NOMAD-0424,Echo and The Bunnymen,New Direction,HIGH,youtube,wav,6,2,,NOMAD-0424 - Echo and The Bunnymen - New Direction/Echo and The Bunnymen - New Direction (YouTube a7_trPBfNU8).wav,NOMAD-0424 - Echo and The Bunnymen - New Direction/Echo and The Bunnymen - New Direction.mp3
NOMAD-0425,Iggy Pop,Tell Me a Story,HIGH,youtube,wav,6,2,,NOMAD-0425 - Iggy Pop - Tell Me a Story/Iggy Pop - Tell Me a Story (YouTube GVru8pBsXLU).wav,NOMAD-0425 - Iggy Pop - Tell Me a Story/Iggy Pop - Tell Me a Story.mp3
NOMAD-0426,Left Boy,Security Check,HIGH,youtube,wav,6,2,,NOMAD-0426 - Left Boy - Security Check/Left Boy - Security Check (YouTube cMzkbpZfgSc).wav,NOMAD-0426 - Left Boy - Security Check/Left Boy - Security Check.mp3
NOMAD-0427,The Lemonheads,If I Could Talk I’d Tell You,HIGH,youtube,wav,6,2,,NOMAD-0427 - The Lemonheads - If I Could Talk I’d Tell You/The Lemonheads - If I Could Talk I’d Tell You (YouTube 7O_MGiEcSLc).wav,NOMAD-0427 - The Lemonheads - If I Could Talk I’d Tell You/The Lemonheads - If I Could Talk I’d Tell You.mp3
NOMAD-0428,They Might Be Giants,Dinner Bell,HIGH,youtube,wav,6,2,,NOMAD-0428 - They Might Be Giants - Dinner Bell/They Might Be Giants - Dinner bell (YouTube nCY7rXF91JA).wav,NOMAD-0428 - They Might Be Giants - Dinner Bell/They Might Be Giants - Dinner Bell.mp3
NOMAD-0429,XTC,Scissor Man,HIGH,youtube,wav,6,2,,NOMAD-0429 - XTC - Scissor Man/XTC - Scissor Man (YouTube 1z_m58cT8Lo).wav,NOMAD-0429 - XTC - Scissor Man/XTC - Scissor Man.mp3
NOMAD-0430,XTC,The Smartest Monkeys,HIGH,youtube,wav,6,2,,NOMAD-0430 - XTC - The Smartest Monkeys/XTC - The Smartest Monkeys (YouTube L17PFScq4Y4).wav,NOMAD-0430 - XTC - The Smartest Monkeys/XTC - The Smartest Monkeys.mp3
NOMAD-0431,Marilyn Dagenais,Un peu de lumière,HIGH,name-match,mp3,3,3,,NOMAD-0431 - Marilyn Dagenais - Un peu de lumière/Marilyn Dagenais - Un peu de lumière.mp3,NOMAD-0431 - Marilyn Dagenais - Un peu de lumière/Un peu de lumiere demo for Andrew.mp3 ;; NOMAD-0431 - Marilyn Dagenais - Un peu de lumière/Un peu de lumière MD v1.3 sans choriste.mp3
NOMAD-0432,Bad Lip Reading,Black Umbrella,HIGH,youtube,wav,6,2,,NOMAD-0432 - Bad Lip Reading - Black Umbrella/Bad Lip Reading - Black Umbrella (YouTube ii5IUihNuno).wav,NOMAD-0432 - Bad Lip Reading - Black Umbrella/Bad Lip Reading - Black Umbrella.mp3
NOMAD-0433,Bruno Mars,The Lazy Song (Non-Lazy Parody),HIGH,youtube,wav,6,2,,NOMAD-0433 - Bruno Mars - The Lazy Song (Non-Lazy Parody)/Bruno Mars - The Lazy Song (YouTube fLexgOxsZu0).wav,NOMAD-0433 - Bruno Mars - The Lazy Song (Non-Lazy Parody)/Bruno Mars - The Lazy Song (Non-Lazy Parody).mp3
NOMAD-0434,Marilyn Dagenais,Si je t'aime,HIGH,name-match,mp3,6,5,,NOMAD-0434 - Marilyn Dagenais - Si je t'aime/Marilyn Dagenais - Si je t'aime.mp3,NOMAD-0434 - Marilyn Dagenais - Si je t'aime/Si je t'aime instrumental.wav ;; NOMAD-0434 - Marilyn Dagenais - Si je t'aime/16-Si-je-t-aime-2023-MIX-2-Masterisé mp3.wav ;; NOMAD-0434 - Marilyn Dagenais - Si je t'aime/Si je t aime no voice.mp3
NOMAD-0435,Jerry Lee Lewis,Meat Man,HIGH,name-match,wav,6,3,,NOMAD-0435 - Jerry Lee Lewis - Meat Man/Jerry Lee Lewis - Meat Man.wav,NOMAD-0435 - Jerry Lee Lewis - Meat Man/Jerry Lee Lewis - Meat Man.mp3 ;; NOMAD-0435 - Jerry Lee Lewis - Meat Man/01 - Meat Man.flac
NOMAD-0436,Shovels & Rope,Birmingham,HIGH,name-match,wav,6,3,,NOMAD-0436 - Shovels & Rope - Birmingham/Shovels & Rope - Birmingham.wav,NOMAD-0436 - Shovels & Rope - Birmingham/Shovels & Rope - Birmingham.mp3 ;; NOMAD-0436 - Shovels & Rope - Birmingham/01 - Birmingham.flac
NOMAD-0437,Wolfe Tones,Rock On Rockall,HIGH,name-match,mp3,6,2,,NOMAD-0437 - Wolfe Tones - Rock On Rockall/Wolfe Tones - Rock On Rockall.mp3,NOMAD-0437 - Wolfe Tones - Rock On Rockall/5exJ2-ra7hU-Rock-on-Rockall.wav
NOMAD-0438,James Rado,Where Do I Go? (From Hair),HIGH,youtube,wav,6,2,,NOMAD-0438 - James Rado - Where Do I Go? (From Hair)/James Rado - Where Do I Go (YouTube MxQ_8-WPBZ0).wav,NOMAD-0438 - James Rado - Where Do I Go? (From Hair)/James Rado - Where Do I Go? (From Hair).mp3
NOMAD-0439,Andrea Bocelli,Gloria in Excelsis Deo,HIGH,youtube,wav,5,1,,NOMAD-0439 - Andrea Bocelli - Gloria in Excelsis Deo/Andrea Bocelli - Gloria in Excelsis Deo (YouTube vkZ4dBOcq2I).wav,
NOMAD-0440,ABBA,The Day Before You Came,HIGH,youtube,wav,6,2,,NOMAD-0440 - ABBA - The Day Before You Came/ABBA - The Day Before You Came (YouTube 1HnOFwqpLRQ).wav,NOMAD-0440 - ABBA - The Day Before You Came/ABBA - The Day Before You Came.mp3
NOMAD-0441,Fleet Foxes,He Doesn’t Know Why,HIGH,youtube,wav,6,2,,NOMAD-0441 - Fleet Foxes - He Doesn’t Know Why/Fleet Foxes - He Doesn’t Know Why (YouTube brZTvGIzeGg).wav,NOMAD-0441 - Fleet Foxes - He Doesn’t Know Why/Fleet Foxes - He Doesn’t Know Why.mp3
NOMAD-0442,The Drifters,Up On The Roof,HIGH,youtube,wav,6,2,,NOMAD-0442 - The Drifters - Up On The Roof/The Drifters - Up On The Roof (YouTube b_ksNvivbEI).wav,NOMAD-0442 - The Drifters - Up On The Roof/The Drifters - Up On The Roof.mp3
NOMAD-0443,The Seekers,California Dreamin',HIGH,youtube,wav,8,1,,NOMAD-0443 - The Seekers - California Dreamin'/The Seekers - California Dreamin' (YouTube PFmgrcoUSgs).wav,
NOMAD-0444,Fleet Foxes,Silver Dagger,HIGH,youtube,wav,6,2,,NOMAD-0444 - Fleet Foxes - Silver Dagger/Fleet Foxes - Silver Dagger (YouTube pKAim7dJjjg).wav,NOMAD-0444 - Fleet Foxes - Silver Dagger/Fleet Foxes - Silver Dagger.mp3
NOMAD-0445,She Wants Revenge,Broken Promises For Broken Hearts,HIGH,youtube,wav,6,2,,NOMAD-0445 - She Wants Revenge - Broken Promises For Broken Hearts/She Wants Revenge - Broken Promises For Broken Hearts (YouTube pOlbu-_2Ha4).wav,NOMAD-0445 - She Wants Revenge - Broken Promises For Broken Hearts/She Wants Revenge - Broken Promises For Broken Hearts.mp3
NOMAD-0446,Ken Ashcorp,On The Rocks,HIGH,youtube,wav,7,2,,NOMAD-0446 - Ken Ashcorp - On The Rocks/Ken Ashcorp - On The Rocks (YouTube zH_RlepY3GQ).wav,NOMAD-0446 - Ken Ashcorp - On The Rocks/Ken Ashcorp - On The Rocks.mp3
NOMAD-0447,Z-Ro,Mo City Don Freestyle,HIGH,youtube,wav,6,2,,NOMAD-0447 - Z-Ro - Mo City Don Freestyle/Z-Ro - Mo City Don Freestyle (YouTube 0-2QA8C19uQ).wav,NOMAD-0447 - Z-Ro - Mo City Don Freestyle/Z-Ro - Mo City Don Freestyle.mp3
NOMAD-0448,The Time,Cool,HIGH,name-match,wav,3,2,,NOMAD-0448 - The Time - Cool/The Time - Cool.wav,NOMAD-0448 - The Time - Cool/The Time - Cool.mp3
NOMAD-0449,Urban Cookie Collective,"The Key, The Secret",HIGH,youtube,wav,6,2,,"NOMAD-0449 - Urban Cookie Collective - The Key, The Secret/Urban Cookie Collective - The Key, The Secret (YouTube 2wyv52Ahry0).wav","NOMAD-0449 - Urban Cookie Collective - The Key, The Secret/Urban Cookie Collective - The Key, The Secret.mp3"
NOMAD-0450,Melissa Etheridge,Meet Me In The Back,HIGH,youtube,wav,6,2,,NOMAD-0450 - Melissa Etheridge - Meet Me In The Back/Melissa Etheridge - Meet Me In The Back (YouTube 7cjDKoD8PL0).wav,NOMAD-0450 - Melissa Etheridge - Meet Me In The Back/Melissa Etheridge - Meet Me In The Back.mp3
NOMAD-0451,Garfunkel And Oates,I Get to Do It With You,HIGH,youtube,wav,6,2,,NOMAD-0451 - Garfunkel And Oates - I Get to Do It With You/Garfunkel And Oates - I Get to Do It With You (YouTube 89z2b1hJ9TI).wav,NOMAD-0451 - Garfunkel And Oates - I Get to Do It With You/Garfunkel And Oates - I Get to Do It With You (YouTube 89z2b1hJ9TI).webm
NOMAD-0452,A Fine Frenzy,"Come On, Come Out",HIGH,youtube,wav,7,3,,"NOMAD-0452 - A Fine Frenzy - Come On, Come Out/A Fine Frenzy - Come On, Come Out (YouTube JY52MfkLWNQ).wav","NOMAD-0452 - A Fine Frenzy - Come On, Come Out/A Fine Frenzy - Come On, Come Out (YouTube JY52MfkLWNQ).webm ;; NOMAD-0452 - A Fine Frenzy - Come On, Come Out/A Fine Frenzy - Come On, Come Out.mp3"
NOMAD-0453,A Fine Frenzy,Rangers,HIGH,youtube,wav,7,3,,NOMAD-0453 - A Fine Frenzy - Rangers/A Fine Frenzy - Rangers (YouTube l4mCcQZ7Vjk).wav,NOMAD-0453 - A Fine Frenzy - Rangers/A Fine Frenzy - Rangers (YouTube l4mCcQZ7Vjk).webm ;; NOMAD-0453 - A Fine Frenzy - Rangers/A Fine Frenzy - Rangers.mp3
NOMAD-0454,Ken Ashcorp,PVP,HIGH,youtube,wav,6,3,,NOMAD-0454 - Ken Ashcorp - PVP/Ken Ashcorp - PVP (YouTube u5lJ7tXWz74).wav,NOMAD-0454 - Ken Ashcorp - PVP/Ken Ashcorp - PVP (YouTube u5lJ7tXWz74).webm ;; NOMAD-0454 - Ken Ashcorp - PVP/Ken Ashcorp - PVP.mp3
NOMAD-0455,A Fine Frenzy,Almost Lover,HIGH,youtube,wav,7,3,,NOMAD-0455 - A Fine Frenzy - Almost Lover/A Fine Frenzy - Almost Lover (YouTube I_S_TbD1XFM).wav,NOMAD-0455 - A Fine Frenzy - Almost Lover/A Fine Frenzy - Almost Lover (YouTube I_S_TbD1XFM).webm ;; NOMAD-0455 - A Fine Frenzy - Almost Lover/A Fine Frenzy - Almost Lover.mp3
NOMAD-0456,A Fine Frenzy,You Picked Me,HIGH,youtube,wav,7,3,,NOMAD-0456 - A Fine Frenzy - You Picked Me/A Fine Frenzy - You Picked Me (YouTube -G_Q2knArU4).wav,NOMAD-0456 - A Fine Frenzy - You Picked Me/A Fine Frenzy - You Picked Me (YouTube -G_Q2knArU4).webm ;; NOMAD-0456 - A Fine Frenzy - You Picked Me/A Fine Frenzy - You Picked Me.mp3
NOMAD-0457,Peach PRC,God Is A Freak,HIGH,youtube,wav,7,3,,NOMAD-0457 - Peach PRC - God Is A Freak/Peach PRC - God Is A Freak (YouTube e07I7io1myI).wav,NOMAD-0457 - Peach PRC - God Is A Freak/Peach PRC - God Is A Freak (YouTube e07I7io1myI).webm ;; NOMAD-0457 - Peach PRC - God Is A Freak/Peach PRC - God Is A Freak.mp3
NOMAD-0458,Righteous Brothers,See That Girl,HIGH,original,wav,32,10,,"NOMAD-0458 - Righteous Brothers - See That Girl/Righteous Brothers - See That Girl (Original Audio From 2005, Polydor B0005329-02, Gold CD).wav",NOMAD-0458 - Righteous Brothers - See That Girl/Righteous Brothers - See That Girl (YouTube WTwXNqfUcLg).wav ;; NOMAD-0458 - Righteous Brothers - See That Girl/OldFirstAttemptPoorQualityAudioFromYouTube/Righteous Brothers - See That Girl (YouTube WTwXNqfUcLg).wav ;; NOMAD-0458 - Righteous Brothers - See That Girl/DifferentOriginalRecordingsSeparationTesting/Righteous Brothers - See That Girl (YouTube WTwXNqfUcLg).webm
NOMAD-0459,Blue Eyed Blondes,Maneater,HIGH,youtube,wav,7,3,,NOMAD-0459 - Blue Eyed Blondes - Maneater/Blue Eyed Blondes - Maneater (YouTube ECeU9Dr14qE).wav,NOMAD-0459 - Blue Eyed Blondes - Maneater/Blue Eyed Blondes - Maneater (YouTube ECeU9Dr14qE).webm ;; NOMAD-0459 - Blue Eyed Blondes - Maneater/Blue Eyed Blondes - Maneater.mp3
NOMAD-0460,piri & tommy,on & on,HIGH,youtube,wav,11,3,,NOMAD-0460 - piri & tommy - on & on/piri & tommy - on & on (YouTube P0_S9JJ16fY).wav,NOMAD-0460 - piri & tommy - on & on/piri & tommy - on & on (YouTube P0_S9JJ16fY).webm ;; NOMAD-0460 - piri & tommy - on & on/piri & tommy - on & on.mp3
NOMAD-0461,Sudley ft. piri,fumble,HIGH,youtube,wav,11,3,,NOMAD-0461 - Sudley ft. piri - fumble/Sudley ft. piri - fumble (YouTube ePaajRhReUc).wav,NOMAD-0461 - Sudley ft. piri - fumble/Sudley ft. piri - fumble (YouTube ePaajRhReUc).webm ;; NOMAD-0461 - Sudley ft. piri - fumble/Sudley ft. piri - fumble.mp3
NOMAD-0462,A Fine Frenzy,Ashes And Wine,HIGH,youtube,wav,7,3,,NOMAD-0462 - A Fine Frenzy - Ashes And Wine/A Fine Frenzy - Ashes And Wine (YouTube b0a8k0BlAOE).wav,NOMAD-0462 - A Fine Frenzy - Ashes And Wine/A Fine Frenzy - Ashes And Wine (YouTube b0a8k0BlAOE).webm ;; NOMAD-0462 - A Fine Frenzy - Ashes And Wine/A Fine Frenzy - Ashes And Wine.mp3
NOMAD-0463,A Fine Frenzy,The Minnow & The Trout,HIGH,youtube,wav,7,3,,NOMAD-0463 - A Fine Frenzy - The Minnow & The Trout/A Fine Frenzy - The Minnow & The Trout (YouTube Eq_-mEZGipo).wav,NOMAD-0463 - A Fine Frenzy - The Minnow & The Trout/A Fine Frenzy - The Minnow & The Trout (YouTube Eq_-mEZGipo).webm ;; NOMAD-0463 - A Fine Frenzy - The Minnow & The Trout/A Fine Frenzy - The Minnow & The Trout.mp3
NOMAD-0464,Tame Impala,The Boat I Row,HIGH,youtube,wav,11,2,,NOMAD-0464 - Tame Impala - The Boat I Row/Tame Impala - The Boat I Row (Youtube j706aSetFbI).wav,NOMAD-0464 - Tame Impala - The Boat I Row/Tame Impala - The Boat I Row (Youtube j706aSetFbI).webm
NOMAD-0465,Spinal Tap,Rainy Day Sun,HIGH,youtube,wav,11,2,,NOMAD-0465 - Spinal Tap - Rainy Day Sun/Spinal Tap - Rainy Day Sun (Youtube BQfieG8RqHg).wav,NOMAD-0465 - Spinal Tap - Rainy Day Sun/Spinal Tap - Rainy Day Sun (Youtube BQfieG8RqHg).webm
NOMAD-0466,Röyksopp,Running To The Sea,HIGH,youtube,wav,11,2,,NOMAD-0466 - Röyksopp - Running To The Sea/Röyksopp - Running To The Sea (Youtube eFZ0s-1-ccA).wav,NOMAD-0466 - Röyksopp - Running To The Sea/Röyksopp - Running To The Sea (Youtube eFZ0s-1-ccA).webm
NOMAD-0467,Röyksopp,"Oh, Lover",HIGH,youtube,wav,11,2,,"NOMAD-0467 - Röyksopp - Oh, Lover/Röyksopp - Oh, Lover (Youtube -s_6LjSmZqo).wav","NOMAD-0467 - Röyksopp - Oh, Lover/Röyksopp - Oh, Lover (Youtube -s_6LjSmZqo).webm"
NOMAD-0468,Röyksopp,Monument,HIGH,youtube,wav,11,2,,NOMAD-0468 - Röyksopp - Monument/Röyksopp - Monument (Youtube w64PybOJ8RQ).wav,NOMAD-0468 - Röyksopp - Monument/Röyksopp - Monument (Youtube w64PybOJ8RQ).webm
NOMAD-0469,Röyksopp,Only This Moment,HIGH,youtube,wav,11,2,,NOMAD-0469 - Röyksopp - Only This Moment/Röyksopp - Only This Moment (Youtube ze9Oei__Vvg).wav,NOMAD-0469 - Röyksopp - Only This Moment/Röyksopp - Only This Moment (Youtube ze9Oei__Vvg).webm
NOMAD-0470,Röyksopp,The Girl And The Robot,HIGH,youtube,wav,11,2,,NOMAD-0470 - Röyksopp - The Girl And The Robot/Röyksopp - The Girl And The Robot (Youtube RDaORdlN_Y0).wav,NOMAD-0470 - Röyksopp - The Girl And The Robot/Röyksopp - The Girl And The Robot (Youtube RDaORdlN_Y0).webm
NOMAD-0471,Röyksopp,49 Percent,HIGH,youtube,wav,11,2,,NOMAD-0471 - Röyksopp - 49 Percent/Röyksopp - 49 Percent (Youtube i0r0Dc7TyV4).wav,NOMAD-0471 - Röyksopp - 49 Percent/Röyksopp - 49 Percent (Youtube i0r0Dc7TyV4).webm
NOMAD-0472,Maisi & piri,head,HIGH,youtube,wav,11,2,,NOMAD-0472 - Maisi & piri - head/Maisi & piri - head (Youtube kyESqvnjAdQ).wav,NOMAD-0472 - Maisi & piri - head/Maisi & piri - head (Youtube kyESqvnjAdQ).webm
NOMAD-0473,Django Django,Default,HIGH,youtube,wav,11,2,,NOMAD-0473 - Django Django - Default/Django Django - Default (Youtube kzwlJdEq1Rk).wav,NOMAD-0473 - Django Django - Default/Django Django - Default (Youtube kzwlJdEq1Rk).webm
NOMAD-0474,Django Django,Hail Bop,HIGH,youtube,wav,11,2,,NOMAD-0474 - Django Django - Hail Bop/Django Django - Hail Bop (Youtube QK1m__CqWAk).wav,NOMAD-0474 - Django Django - Hail Bop/Django Django - Hail Bop (Youtube QK1m__CqWAk).webm
NOMAD-0475,piri & tommy,silver lining,HIGH,local,flac,11,2,,NOMAD-0475 - piri & tommy - silver lining/piri & tommy - silver lining (Local).flac,NOMAD-0475 - piri & tommy - silver lining/piri & tommy - silver lining (Local).wav
NOMAD-0476,Daniel O'Donnell,Galway Bay,HIGH,youtube,wav,11,2,,NOMAD-0476 - Daniel O'Donnell - Galway Bay/Daniel O'Donnell - Galway Bay (Youtube dKzhR3ughTE).wav,NOMAD-0476 - Daniel O'Donnell - Galway Bay/Daniel O'Donnell - Galway Bay (Youtube dKzhR3ughTE).webm
NOMAD-0477,Daniel O'Donnell,I'll Take You Home Again Kathleen,HIGH,youtube,wav,11,2,,NOMAD-0477 - Daniel O'Donnell - I'll Take You Home Again Kathleen/Daniel O'Donnell - I'll Take You Home Again Kathleen (Youtube iZjGLOUgDlk).wav,NOMAD-0477 - Daniel O'Donnell - I'll Take You Home Again Kathleen/Daniel O'Donnell - I'll Take You Home Again Kathleen (Youtube iZjGLOUgDlk).webm
NOMAD-0478,Daniel O'Donnell,Mountains of Mourne,HIGH,youtube,wav,11,2,,NOMAD-0478 - Daniel O'Donnell - Mountains of Mourne/Daniel O'Donnell - Mountains of Mourne (Youtube wuWUJ41jjAM).wav,NOMAD-0478 - Daniel O'Donnell - Mountains of Mourne/Daniel O'Donnell - Mountains of Mourne (Youtube wuWUJ41jjAM).webm
NOMAD-0479,Daniel O'Donnell,"Medley_ It's a Long Way to Tipperary _ Pack up Your Troubles _ If You're Irish, Come into the Parlour",HIGH,youtube,wav,11,2,,"NOMAD-0479 - Daniel O'Donnell - Medley_ It's a Long Way to Tipperary _ Pack up Your Troubles _ If You're Irish, Come into the Parlour/Daniel O'Donnell - Medley_ It's a Long Way to Tipperary _ Pack up Your Troubles _ If You're Irish, Come into the Parlour (Youtube s1sc5CIxgz4).wav","NOMAD-0479 - Daniel O'Donnell - Medley_ It's a Long Way to Tipperary _ Pack up Your Troubles _ If You're Irish, Come into the Parlour/Daniel O'Donnell - Medley_ It's a Long Way to Tipperary _ Pack up Your Troubles _ If You're Irish, Come into the Parlour (Youtube s1sc5CIxgz4).webm"
NOMAD-0480,Jackson Singleton,Disguise,HIGH,local,wav,11,2,,NOMAD-0480 - Jackson Singleton - Disguise/Jackson Singleton - Disguise (Local).wav,NOMAD-0480 - Jackson Singleton - Disguise/Jackson Singleton - Disguise (Local).m4a
NOMAD-0481,Ken Ashcorp,Dare You To Love Me,HIGH,youtube,wav,10,1,,NOMAD-0481 - Ken Ashcorp - Dare You To Love Me/Ken Ashcorp - Dare You To Love Me (Youtube -DSH6D7WcY0).wav,
NOMAD-0482,A Fine Frenzy,Borrowed Time,HIGH,youtube,wav,7,2,,NOMAD-0482 - A Fine Frenzy - Borrowed Time/A Fine Frenzy - Borrowed Time (YouTube afROT9qtFXA).wav,NOMAD-0482 - A Fine Frenzy - Borrowed Time/A Fine Frenzy - Borrowed Time (YouTube afROT9qtFXA).webm
NOMAD-0483,A Fine Frenzy,Last Of Days,HIGH,youtube,wav,7,2,,NOMAD-0483 - A Fine Frenzy - Last Of Days/A Fine Frenzy - Last Of Days (YouTube xQ9QOy69-bE).wav,NOMAD-0483 - A Fine Frenzy - Last Of Days/A Fine Frenzy - Last Of Days (YouTube xQ9QOy69-bE).webm
NOMAD-0484,A Fine Frenzy,Hope For The Hopeless,HIGH,youtube,wav,7,2,,NOMAD-0484 - A Fine Frenzy - Hope For The Hopeless/A Fine Frenzy - Hope For The Hopeless (YouTube qOSUvgNMuWA).wav,NOMAD-0484 - A Fine Frenzy - Hope For The Hopeless/A Fine Frenzy - Hope For The Hopeless (YouTube qOSUvgNMuWA).webm
NOMAD-0485,A Fine Frenzy,"Liar, Liar",HIGH,youtube,wav,7,2,,"NOMAD-0485 - A Fine Frenzy - Liar, Liar/A Fine Frenzy - Liar, Liar (YouTube Xm0uuout1fk).wav","NOMAD-0485 - A Fine Frenzy - Liar, Liar/A Fine Frenzy - Liar, Liar (YouTube Xm0uuout1fk).webm"
NOMAD-0486,A Fine Frenzy,Lifesize,HIGH,youtube,wav,7,2,,NOMAD-0486 - A Fine Frenzy - Lifesize/A Fine Frenzy - Lifesize (YouTube 4HCdrVUVC9A).wav,NOMAD-0486 - A Fine Frenzy - Lifesize/A Fine Frenzy - Lifesize (YouTube 4HCdrVUVC9A).webm
NOMAD-0487,A Fine Frenzy,Near To You,HIGH,youtube,wav,7,2,,NOMAD-0487 - A Fine Frenzy - Near To You/A Fine Frenzy - Near To You (YouTube aYLCynqAl8U).wav,NOMAD-0487 - A Fine Frenzy - Near To You/A Fine Frenzy - Near To You (YouTube aYLCynqAl8U).webm
NOMAD-0488,A Fine Frenzy,Think Of You,HIGH,youtube,wav,7,2,,NOMAD-0488 - A Fine Frenzy - Think Of You/A Fine Frenzy - Think Of You (YouTube hga-eVWhRfo).wav,NOMAD-0488 - A Fine Frenzy - Think Of You/A Fine Frenzy - Think Of You (YouTube hga-eVWhRfo).webm
NOMAD-0489,A Fine Frenzy,Whisper,HIGH,youtube,wav,7,2,,NOMAD-0489 - A Fine Frenzy - Whisper/A Fine Frenzy - Whisper (YouTube 7FzKMAH4tHw).wav,NOMAD-0489 - A Fine Frenzy - Whisper/A Fine Frenzy - Whisper (YouTube 7FzKMAH4tHw).webm
NOMAD-0490,piri & tommy,settle,HIGH,local,flac,11,2,,NOMAD-0490 - piri & tommy - settle/piri & tommy - settle (Local).flac,NOMAD-0490 - piri & tommy - settle/piri & tommy - settle (Local).wav
NOMAD-0491,piri & tommy,soft spot,HIGH,local,flac,11,2,,NOMAD-0491 - piri & tommy - soft spot/piri & tommy - soft spot (Local).flac,NOMAD-0491 - piri & tommy - soft spot/piri & tommy - soft spot (Local).wav
NOMAD-0492,piri & tommy,sunlight,HIGH,local,flac,11,2,,NOMAD-0492 - piri & tommy - sunlight/piri & tommy - sunlight (Local).flac,NOMAD-0492 - piri & tommy - sunlight/piri & tommy - sunlight (Local).wav
NOMAD-0493,piri & tommy,beachin,HIGH,local,flac,11,2,,NOMAD-0493 - piri & tommy - beachin/piri & tommy - beachin (Local).flac,NOMAD-0493 - piri & tommy - beachin/piri & tommy - beachin (Local).wav
NOMAD-0494,piri & tommy,player 2,HIGH,local,flac,11,2,,NOMAD-0494 - piri & tommy - player 2/piri & tommy - player 2 (Local).flac,NOMAD-0494 - piri & tommy - player 2/piri & tommy - player 2 (Local).wav
NOMAD-0495,piri & tommy,can we,HIGH,local,flac,11,2,,NOMAD-0495 - piri & tommy - can we/piri & tommy - can we (Local).flac,NOMAD-0495 - piri & tommy - can we/piri & tommy - can we (Local).wav
NOMAD-0496,piri & tommy,easy,HIGH,local,flac,11,2,,NOMAD-0496 - piri & tommy - easy/piri & tommy - easy (Local).flac,NOMAD-0496 - piri & tommy - easy/piri & tommy - easy (Local).wav
NOMAD-0497,piri & tommy,say it,HIGH,local,flac,11,2,,NOMAD-0497 - piri & tommy - say it/piri & tommy - say it (Local).flac,NOMAD-0497 - piri & tommy - say it/piri & tommy - say it (Local).wav
NOMAD-0498,piri & tommy,slowly but surely,HIGH,local,flac,11,2,,NOMAD-0498 - piri & tommy - slowly but surely/piri & tommy - slowly but surely (Local).flac,NOMAD-0498 - piri & tommy - slowly but surely/piri & tommy - slowly but surely (Local).wav
NOMAD-0499,piri & tommy,words,HIGH,local,flac,11,2,,NOMAD-0499 - piri & tommy - words/piri & tommy - words (Local).flac,NOMAD-0499 - piri & tommy - words/piri & tommy - words (Local).wav
NOMAD-0500,piri & tommy,nice 2 me,HIGH,youtube,wav,11,2,,NOMAD-0500 - piri & tommy - nice 2 me/piri & tommy - nice 2 me (Youtube lIAA1AGQeOA).wav,NOMAD-0500 - piri & tommy - nice 2 me/piri & tommy - nice 2 me (Youtube lIAA1AGQeOA).webm
NOMAD-0501,Tony Bennett & k.d.lang,What A Wonderful World,HIGH,youtube,wav,15,3,,NOMAD-0501 - Tony Bennett & k.d.lang - What A Wonderful World/Tony Bennett & k.d.lang - What A Wonderful World (Youtube ot5p0kIn_no).wav,NOMAD-0501 - Tony Bennett & k.d.lang - What A Wonderful World/Tony Bennett & k.d.lang - What A Wonderful World (Youtube ot5p0kIn_no).webm ;; NOMAD-0501 - Tony Bennett & k.d.lang - What A Wonderful World/Blue/Tony Bennett & k.d.lang - What A Wonderful World.mp3
NOMAD-0502,Ying Yang Twins,Georgia Dome,HIGH,youtube,wav,11,2,,NOMAD-0502 - Ying Yang Twins - Georgia Dome/Ying Yang Twins - Georgia Dome (Youtube 25_zvHLY5XA).wav,NOMAD-0502 - Ying Yang Twins - Georgia Dome/Ying Yang Twins - Georgia Dome (Youtube 25_zvHLY5XA).webm
